index,p1.championId,p2.championId,p3.championId,p4.championId,p5.championId,p6.championId,p7.championId,p8.championId,p9.championId,p10.championId,p1.xpDiffPerMinDeltas,p2.xpDiffPerMinDeltas,p3.xpDiffPerMinDeltas,p4.xpDiffPerMinDeltas,p5.xpDiffPerMinDeltas,p6.xpDiffPerMinDeltas,p7.xpDiffPerMinDeltas,p8.xpDiffPerMinDeltas,p9.xpDiffPerMinDeltas,p10.xpDiffPerMinDeltas,t1.goldPerMinDeltas,t2.goldPerMinDeltas,t1.firstBlood,t2.firstBlood,t1.firstRiftHerald,t2.firstRiftHerald,t1.win
5382,51,1,104,58,40,84,67,50,53,141,37.25,0,29.8,0,37.25,0,0,-37.25,-37.25,-29.8,1486.4,1295.3,1,0,1,0,1
5383,114,26,555,202,120,23,76,119,412,777,-41.88,-41.88,-41.88,-41.88,-41.88,41.88,41.88,41.88,41.88,41.88,1245.9,1550.8,0,1,0,1,0
5384,35,84,555,81,39,80,30,236,141,98,40.9,-122.3,16.45,16.45,26.8,-16.45,-16.45,-26.8,-40.9,122.3,1410.3,1380.7,1,0,1,0,1
5385,29,38,497,141,62,117,236,107,145,8,-91.7,-91.7,-91.7,-91.7,-91.7,91.7,91.7,91.7,91.7,91.7,1486.5,2012,0,1,1,0,0
5386,76,61,53,18,62,421,164,157,31,68,-77.3,-72.8,36.3,36.3,-3,77.3,3,72.8,-36.3,-36.3,1385.8,1448.9,0,1,0,1,0
5387,246,69,117,19,157,9,14,202,61,111,-33.4,5.45,5.45,72.7,-7.4,-72.7,7.4,-5.45,33.4,-5.45,1274.4,1316.8,1,0,1,0,0
5388,80,105,69,421,202,51,432,121,268,8,-17.85,-45.9,28.8,158.2,-17.85,17.85,17.85,-158.2,45.9,-28.8,1503.4,1361,0,1,1,0,1
5389,117,81,104,134,12,1,61,121,89,203,53.56,53.56,53.56,53.56,53.56,-53.56,-53.56,-53.56,-53.56,-53.56,1547,1101.2,1,0,1,0,1
5390,350,202,142,154,39,145,203,63,17,89,0,0,0,69.1,-54.5,0,-69.1,0,54.5,0,1493.5,1254.3,1,0,0,1,1
5391,4,245,81,6,40,1,350,51,120,58,-57.5,-21.5,-22.25,-28,-22.25,57.5,22.25,22.25,21.5,28,1351,1510.9,1,0,0,1,0
5392,29,114,30,1,517,421,161,36,202,875,35.52,35.52,35.52,35.52,35.52,-35.52,-35.52,-35.52,-35.52,-35.52,1519.7,1180.4,1,0,1,0,1
5393,80,235,142,2,117,8,38,202,35,89,86.2,86.2,0,128.2,0,0,0,-86.2,-128.2,-86.2,1655.2,1283.7,1,0,1,0,1
5394,56,164,80,498,876,79,517,235,777,64,0,47.4,31.8,31.8,0,-31.8,0,-31.8,-47.4,0,1666.8,1512.9,1,0,1,0,1
5395,245,246,202,53,150,236,14,54,107,350,143.6,0,-45.75,-45.75,0,45.75,0,0,-143.6,45.75,1707,1447.8,1,0,1,0,1
5396,523,84,164,876,117,41,12,104,202,61,22.6,22.6,22.6,22.6,22.6,-22.6,-22.6,-22.6,-22.6,-22.6,1452.6,1349.9,1,0,1,0,1
5397,134,555,76,81,39,164,104,497,517,498,32.1,-41.55,12.9,-41.55,-126.1,126.1,-12.9,41.55,-32.1,41.55,1256.1,1426.5,1,0,1,0,0
5398,12,104,518,164,45,89,84,64,134,22,27.28,27.28,27.28,27.28,27.28,-27.28,-27.28,-27.28,-27.28,-27.28,1370.3,1211.4,1,0,1,0,1
5399,14,201,22,245,38,517,81,164,111,104,-75.46,-75.46,-75.46,-75.46,-75.46,75.46,75.46,75.46,75.46,75.46,1106.4,1616.5,0,1,0,1,0
5400,203,517,111,157,84,236,68,35,497,98,0,0,12.7,12.7,102,-12.7,0,0,-12.7,-102,1549.1,1489.4,1,0,1,0,1
5401,81,60,92,89,555,114,51,115,120,412,0,-97.5,0,0,0,0,0,0,97.5,0,1497.8,1231,0,1,1,0,1
5402,202,10,77,143,517,114,121,235,432,13,35.95,7.2,79.2,35.95,-122.9,-7.2,-79.2,-35.95,-35.95,122.9,1468.7,1378.7,0,1,0,1,0
5403,432,876,18,85,114,104,134,51,101,23,-90.3,59.4,-90.3,0,0,-59.4,0,90.3,90.3,0,1269.7,1647.2,0,1,1,0,1
5404,51,350,164,121,105,28,21,238,114,26,-53.5,-53.5,-76.3,83.8,133.1,-83.8,53.5,-133.1,76.3,53.5,1382.9,1418,1,0,1,0,1
5405,246,8,104,202,37,81,236,28,350,57,41.1,24,41,79.95,79.95,-79.95,-41.1,-41,-79.95,-24,1628.1,1212.5,1,0,1,0,0
5406,57,104,202,142,80,91,876,44,29,8,0,44.1,19.75,0,19.75,0,-44.1,-19.75,-19.75,0,1495.3,1384.9,1,0,0,1,1
5407,22,40,245,82,107,517,62,235,30,41,0,0,0,-12.6,71.3,-71.3,0,0,0,12.6,1483.4,1468.8,1,0,1,0,1
5408,51,61,62,120,350,9,157,92,432,21,0,0,-86.2,-98.2,0,98.2,0,86.2,0,0,1248.6,1540.9,1,0,1,0,0
5409,875,63,266,154,3,89,238,240,20,145,-27.1,-27.1,-27.5,57.2,-25,27.1,25,27.5,-57.2,27.1,1331,1494.6,0,1,1,0,1
5410,84,104,39,222,63,92,22,267,115,77,0,-7.3,85.6,0,0,-85.6,0,0,0,7.3,1548.9,1291.2,0,1,1,0,1
5411,154,157,145,68,111,53,203,517,30,236,29.7,0,-9.6,0,-9.6,9.6,-29.7,0,0,9.6,1518.8,1494.4,1,0,1,0,0
5412,35,777,202,14,26,89,104,145,245,58,-89.7,-112.1,5.45,-138,5.45,-5.45,89.7,-5.45,112.1,138,1140.9,1519.6,0,1,0,1,0
5413,141,68,92,43,51,30,122,61,236,875,87.1,0,0,35.9,35.9,-87.1,0,0,-35.9,-35.9,1660.8,1330.7,1,0,1,0,0
5414,24,44,16,84,81,17,11,202,1,80,0,0,0,0,0,0,0,0,0,0,1364.7,1366.1,1,0,1,0,0
5415,25,202,14,421,105,26,121,266,81,84,13.8,13.8,0,143.5,0,-13.8,-143.5,0,-13.8,0,1547.7,1305.6,1,0,1,0,0
5416,8,26,5,432,21,238,80,81,64,517,101.8,4.8,37.1,16.9,16.9,-4.8,-16.9,-16.9,-37.1,-101.8,1484,1155.9,1,0,0,1,1
5417,875,22,104,58,1,555,81,157,9,56,10.1,10.1,84.7,166.7,75.1,-10.1,-10.1,-75.1,-84.7,-166.7,1575.4,1317.1,1,0,1,0,1
5418,58,119,203,40,84,360,777,62,245,80,-19.1,40.85,-81.4,40.85,-35.9,-40.85,35.9,19.1,81.4,-40.85,1421.3,1299.8,1,0,0,1,0
5419,76,80,81,92,8,104,202,876,142,25,115.6,0,0,138.5,0,-115.6,0,-138.5,0,0,1546.7,1385.7,0,1,1,0,1
5420,84,876,62,145,111,89,76,164,3,81,10.8,-13,-30.4,-7.5,-7.5,7.5,13,-10.8,30.4,7.5,1478.9,1453.7,1,0,0,1,1
5421,202,117,122,61,141,7,40,92,777,245,-24.4,-24.4,-24.4,-24.4,-24.4,24.4,24.4,24.4,24.4,24.4,1228.5,1416.8,0,1,0,0,0
5422,235,80,62,876,142,12,104,22,245,114,19.35,19.35,-146.5,-33,-98.2,-19.35,33,-19.35,98.2,146.5,1116.2,1569,1,0,0,1,0
5423,89,203,360,117,61,85,236,43,523,875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
5424,84,238,236,1,120,64,111,81,517,126,65.2,80.9,-17.2,-17.2,153.1,-153.1,17.2,17.2,-80.9,-65.2,1448.1,1397.1,0,1,1,0,0
5425,85,117,119,421,84,57,81,92,64,516,0,0,0,-43,-159.4,0,0,159.4,43,0,1350.5,1579.5,1,0,1,0,1
5426,89,157,104,246,63,38,412,876,875,202,-42.55,-42.55,40.6,-41.5,-63.7,41.5,42.55,-40.6,63.7,42.55,1333.6,1427.3,1,0,1,0,0
5427,54,2,3,80,145,517,107,777,350,81,25.16,25.16,25.16,25.16,25.16,-25.16,-25.16,-25.16,-25.16,-25.16,1736.1,1348.1,0,1,1,0,1
5428,35,84,202,99,164,104,58,517,22,875,-20.32,-20.32,-20.32,-20.32,-20.32,20.32,20.32,20.32,20.32,20.32,1431.4,1441.7,1,0,0,1,1
5429,24,84,235,107,350,6,4,876,111,202,78,28.8,20.95,27.6,20.95,-78,-28.8,-27.6,-20.95,-20.95,1451.2,1276.9,0,1,1,0,1
5430,164,203,202,105,412,1,22,120,3,41,0,59.8,0,74.8,0,0,0,-59.8,-74.8,0,1435.3,1256,1,0,1,0,1
5431,24,1,412,235,35,236,89,360,104,106,0,0,-21.3,-21.3,-124.3,0,21.3,21.3,124.3,0,1299.9,1591.9,0,1,0,1,1
5432,145,105,14,141,1,34,120,81,164,350,31.55,-11.3,17.3,98.9,31.55,11.3,-98.9,-31.55,-17.3,-31.55,1565.9,1414.1,0,1,1,0,1
5433,517,203,516,22,117,235,41,12,79,157,-58.1,0,0,70.45,70.45,-70.45,0,-70.45,0,58.1,1325.9,1580,0,1,0,1,0
5434,61,117,498,2,58,43,64,516,22,3,25.24,25.24,25.24,25.24,25.24,-25.24,-25.24,-25.24,-25.24,-25.24,1574.3,1348.5,1,0,0,1,1
5435,20,10,53,21,4,81,142,350,245,106,86.2,0,10.35,10.35,0,-10.35,0,-10.35,-86.2,0,1554.6,1165.1,1,0,1,0,1
5436,53,82,360,104,236,112,58,63,245,21,0,0,0,10.7,14.1,-14.1,0,0,-10.7,0,1453.5,1471.3,1,0,1,0,0
5437,111,164,236,28,51,131,89,154,114,145,-12.65,18.6,-37.8,49.7,-12.65,37.8,12.65,-49.7,-18.6,12.65,1451.3,1389.2,1,0,1,0,1
5438,62,238,360,79,80,875,74,154,23,68,68.52,68.52,68.52,68.52,68.52,-68.52,-68.52,-68.52,-68.52,-68.52,1770,1266.5,0,1,0,0,1
5439,8,81,24,26,120,63,2,98,134,555,-101.28,-101.28,-101.28,-101.28,-101.28,101.28,101.28,101.28,101.28,101.28,1056.7,1612.2,0,1,0,1,0
5440,236,28,119,114,53,41,106,68,89,202,51.8,44.2,0,0,0,0,-44.2,-51.8,0,0,1585.6,1351.1,1,0,0,1,1
5441,68,12,21,44,62,202,37,120,876,236,-40.1,11.9,11.9,-108,52.5,-11.9,-11.9,-52.5,108,40.1,1416.7,1479.1,0,1,1,0,1
5442,104,69,58,57,81,30,80,235,41,55,-87.2,0,0,-44.45,-44.45,87.2,44.45,44.45,0,0,1403,1677.8,0,1,1,0,0
5443,80,67,126,517,141,86,81,98,105,16,-37.2,-37.2,7.9,-31.3,41.8,-7.9,37.2,-41.8,31.3,37.2,1241.8,1203,1,0,1,0,1
5444,134,45,164,350,2,24,57,81,104,245,0,13.85,0,13.85,96.8,0,-13.85,-13.85,-96.8,0,1664.3,1244.7,1,0,1,0,1
5445,412,14,20,523,777,1,875,202,876,25,-6.28,-6.28,-6.28,-6.28,-6.28,6.28,6.28,6.28,6.28,6.28,1249.5,1443.1,0,1,0,1,0
5446,18,497,120,6,45,22,121,555,24,38,-21.5,32.1,14.2,93.1,32.1,-32.1,-14.2,-32.1,-93.1,21.5,1517.1,1213.7,1,0,0,1,0
5447,79,412,523,126,157,245,203,39,21,497,-7.48,-7.48,-7.48,-7.48,-7.48,7.48,7.48,7.48,7.48,7.48,1535.1,1518.7,0,1,1,0,1
5448,497,81,141,98,13,145,157,77,57,517,16.2,16.2,47.4,-75.6,39.8,-16.2,-39.8,-47.4,-16.2,75.6,1416.5,1223.1,1,0,0,0,1
5449,68,240,121,145,1,85,141,142,21,432,-39.2,-53.5,56.3,-42.35,-42.35,53.5,-56.3,39.2,42.35,42.35,1376.5,1660.3,0,1,1,0,0
5450,107,58,134,875,157,412,8,235,64,18,54.88,54.88,54.88,54.88,54.88,-54.88,-54.88,-54.88,-54.88,-54.88,1769,1211.6,1,0,1,0,1
5451,202,35,555,25,157,92,497,81,9,84,32.35,43,0,32.35,0,0,-32.35,-32.35,-43,0,1648.8,1338.6,1,0,1,0,1
5452,115,64,157,38,89,2,517,84,235,145,-55.1,0,0,0,0,0,55.1,0,0,0,1476.6,1394.3,1,0,1,0,1
5453,432,107,236,516,4,24,121,98,30,103,-20.4,62.7,-20.4,37.7,33.1,-37.7,-62.7,20.4,20.4,-33.1,1569.8,1558.5,1,0,1,0,0
5454,516,85,117,104,145,202,777,517,5,40,40.74,40.74,40.74,40.74,40.74,-40.74,-40.74,-40.74,-40.74,-40.74,1494,1307.9,0,1,1,0,1
5455,777,876,80,360,98,41,134,120,1,12,126.7,-34.5,0,0,0,0,0,34.5,-126.7,0,1294.7,1602.9,0,1,1,0,0
5456,28,222,61,114,53,236,120,164,555,63,0,-57.95,30.6,0,-57.95,-30.6,0,0,57.95,57.95,1363,1642.5,0,1,0,1,0
5457,245,24,26,22,31,104,145,98,17,517,-26.2,-200.6,21.4,21.4,24.3,-24.3,-21.4,-21.4,200.6,26.2,1339,1403.4,1,0,0,1,1
5458,20,114,360,117,245,80,105,235,35,62,0,61,7,7,0,-7,0,-7,0,-61,1328.3,1217.2,1,0,1,0,1
5459,53,157,35,555,45,523,117,41,2,84,0,0,-58.4,-41,0,0,0,0,58.4,41,1292.8,1427.9,1,0,1,0,1
5460,24,89,21,154,84,127,115,104,143,114,56.12,56.12,56.12,56.12,56.12,-56.12,-56.12,-56.12,-56.12,-56.12,1672.7,1425.6,0,1,1,0,1
5461,62,235,80,30,4,41,104,12,1,50,0,15.35,15.35,-13,0,0,13,-15.35,0,-15.35,1355.6,1360.5,1,0,1,0,0
5462,236,61,81,497,28,68,202,104,89,62,-61.12,-61.12,-61.12,-61.12,-61.12,61.12,61.12,61.12,61.12,61.12,1439.8,1776.9,1,0,0,1,0
5463,236,12,107,99,79,98,142,121,80,202,0,0,-96.4,0,-27.7,27.7,0,96.4,0,0,1561.3,1527,0,1,1,0,0
5464,59,518,236,12,54,555,20,53,360,85,7,15.3,55.4,55.4,131.6,-15.3,-7,-55.4,-55.4,-131.6,1767.9,1249.4,1,0,1,0,1
5465,555,77,267,202,104,62,777,76,145,57,-31.1,-34.6,-1.4,-1.4,-138.3,34.6,31.1,138.3,1.4,1.4,1294.9,1427.9,1,0,0,1,1
5466,82,120,432,51,236,121,55,875,12,45,0,194.8,65.9,65.9,0,-194.8,0,0,-65.9,-65.9,1620.5,1239.8,1,0,1,0,1
5467,3,24,28,119,80,84,516,103,25,120,46.4,46.4,46.4,46.4,46.4,-46.4,-46.4,-46.4,-46.4,-46.4,1584.4,1276.9,1,0,1,0,1
5468,89,2,58,115,14,57,22,62,48,777,57.2,-160.3,105.4,57.2,-61.2,-57.2,-57.2,61.2,160.3,-105.4,1430.6,1311.8,1,0,0,1,1
5469,412,421,4,51,236,53,119,61,41,876,-56.9,77.7,8,-56.9,36.8,56.9,56.9,-8,-36.8,-77.7,1401.9,1357.5,1,0,1,0,1
5470,432,21,79,164,61,350,114,104,30,81,32.1,32.1,0,0,49.9,-32.1,0,0,-49.9,-32.1,1261.2,1451.8,1,0,1,0,0
5471,91,876,235,80,164,157,81,497,68,92,48.82,48.82,48.82,48.82,48.82,-48.82,-48.82,-48.82,-48.82,-48.82,1568.3,1122.6,1,0,1,0,1
5472,39,30,41,202,412,105,25,64,78,236,-44.1,68.5,197.1,-52.25,-52.25,44.1,52.25,-68.5,-197.1,52.25,1501.8,1414.4,1,0,1,0,1
5473,360,517,104,89,8,12,157,164,202,79,-72.56,-72.56,-72.56,-72.56,-72.56,72.56,72.56,72.56,72.56,72.56,1199.1,1615,0,1,1,0,0
5474,80,145,20,98,105,89,84,498,79,39,47.05,47.05,-20.4,43.1,-9.8,-47.05,9.8,-47.05,20.4,-43.1,1532.8,1271,1,0,1,0,1
5475,81,28,40,92,246,235,104,53,24,142,-30.6,37.4,-30.6,75.7,67.4,30.6,-37.4,30.6,-75.7,-67.4,1390.6,1326.2,1,0,0,1,1
5476,37,41,64,157,115,141,92,51,517,412,23.9,0,45.1,0,23.9,-45.1,0,-23.9,0,-23.9,1433.5,1249,1,0,1,0,1
5477,121,202,114,1,61,134,516,141,89,21,0,-38.6,58.9,-38.6,0,0,-58.9,0,38.6,38.6,1385.5,1503.8,1,0,1,0,0
5478,202,91,80,9,517,104,81,350,38,61,-38.6,0,-38.6,0,89.9,0,38.6,38.6,-89.9,0,1368.8,1283.9,0,1,1,0,0
5479,777,20,350,85,360,62,119,245,80,3,0,0,0,0,0,0,0,0,0,0,1581.8,1635.4,0,1,0,1,0
5480,39,76,119,412,24,62,60,236,18,875,62,0,-4.3,0,0,0,0,0,-62,4.3,1475.5,1428.4,1,0,1,0,1
5481,245,236,45,82,555,145,35,518,412,17,-62.3,-37.5,-17,13.1,-17,17,62.3,-13.1,17,37.5,1279.9,1467.6,0,1,0,1,0
5482,43,6,143,28,21,236,412,202,114,876,-9.32,-9.32,-9.32,-9.32,-9.32,9.32,9.32,9.32,9.32,9.32,1426,1570.7,1,0,0,1,0
5483,164,81,497,55,77,777,35,266,236,43,33,-42.05,-42.05,7.1,27.8,-7.1,-27.8,-33,42.05,42.05,1302.1,1299.4,0,1,0,1,1
5484,40,85,58,63,104,14,350,18,28,236,-20.65,0,0,-20.65,0,0,20.65,20.65,0,0,1082.2,1373.4,0,1,1,0,0
5485,79,246,92,89,202,134,412,120,81,54,-138,-40.1,-52,38.95,38.95,40.1,-38.95,138,-38.95,52,1329.4,1360.1,0,1,1,0,1
5486,21,63,92,18,517,117,107,51,98,161,32.5,32.5,-24.5,-101.6,46.8,-32.5,-46.8,-32.5,24.5,101.6,1412.7,1244,0,1,0,1,0
5487,111,61,141,98,202,67,3,9,157,875,-53.4,-9.9,0,0,-53.4,0,9.9,0,53.4,53.4,1262.3,1663.6,0,1,0,1,0
5488,80,84,39,202,64,350,126,876,3,236,26.55,0,0,26.55,0,-26.55,0,0,0,-26.55,1330.9,1433.5,0,1,0,1,0
5489,22,43,133,4,104,163,523,85,117,58,47.85,47.85,35.6,-91.6,-71.6,71.6,-47.85,91.6,-47.85,-35.6,1360.6,1416.6,0,1,1,0,0
5490,154,119,39,76,412,117,51,24,203,142,3.1,25.2,10,64.3,25.2,-25.2,-25.2,-3.1,-64.3,-10,1469,1373.7,0,1,0,1,1
5491,157,876,62,21,89,30,777,85,16,222,63.3,30.3,-84.9,70.35,70.35,-30.3,-63.3,84.9,-70.35,-70.35,1648,1458.9,1,0,0,1,1
5492,3,81,497,2,98,60,50,875,164,202,41.2,26.05,26.05,19.1,-49.4,-19.1,-41.2,-26.05,49.4,-26.05,1427.3,1241.9,1,0,0,1,1
5493,12,203,69,235,41,360,30,80,18,39,-127.34,-127.34,-127.34,-127.34,-127.34,127.34,127.34,127.34,127.34,127.34,1175.7,1945.3,1,0,1,0,0
5494,202,266,64,3,55,84,777,141,1,13,46.15,0,12.3,46.15,0,0,-46.15,-12.3,-46.15,0,1622.1,1490.8,1,0,1,0,1
5495,517,114,104,26,81,28,16,164,51,157,-173.5,15.3,-62.9,-25.2,-25.2,62.9,25.2,-15.3,25.2,173.5,1247.5,1505.6,0,1,0,1,0
5496,81,80,246,876,24,51,27,4,104,89,37.54,37.54,37.54,37.54,37.54,-37.54,-37.54,-37.54,-37.54,-37.54,1616.9,1344.3,1,0,1,0,1
5497,35,222,30,40,157,81,12,8,141,84,-50.3,0,0,0,37,0,0,0,50.3,-37,1206.4,1315.5,1,0,0,0,1
5498,412,3,157,64,236,121,39,235,84,16,25.7,0,0,114.1,25.7,-114.1,0,-25.7,0,-25.7,1451.1,1295.3,1,0,1,0,1
5499,150,33,4,360,111,81,64,63,238,266,38.7,0,-91.2,0,0,0,0,0,91.2,-38.7,1411.3,1492.2,0,1,0,1,1
5500,76,1,27,236,202,39,69,141,80,18,187.3,-92.45,0,0,-92.45,0,0,-187.3,92.45,92.45,1419.3,1533.1,1,0,0,0,0
5501,43,202,236,9,164,41,145,104,131,350,0,0,66,0,11.4,-11.4,0,0,-66,0,1671.9,1218.8,1,0,1,0,1
5502,236,16,518,141,82,44,111,360,161,266,26.88,26.88,26.88,26.88,26.88,-26.88,-26.88,-26.88,-26.88,-26.88,1546.7,1268.9,1,0,0,1,1
5503,12,134,81,84,254,6,202,25,35,61,-33.4,-33.4,-33.4,-33.4,-33.4,33.4,33.4,33.4,33.4,33.4,1426.1,1815.4,0,1,0,1,0
5504,236,117,89,28,119,63,122,40,134,76,0,-55.6,0,-14.6,0,0,0,0,55.6,14.6,1298.2,1451.9,0,1,0,1,0
5505,238,40,22,517,141,63,81,58,497,120,-47.9,-47.9,-47.9,-47.9,-47.9,47.9,47.9,47.9,47.9,47.9,1247.2,1618.2,0,1,0,1,0
5506,91,76,53,22,54,105,40,235,203,164,0,-95.8,0,0,0,0,0,0,95.8,0,1539.9,1535.7,1,0,1,0,1
5507,11,412,39,74,117,82,80,76,18,119,0,0,0,0,0,0,0,0,0,0,1433.7,1414.7,1,0,0,1,0
5508,4,81,56,89,27,40,523,427,84,157,0,0,12.5,0,0,0,0,-12.5,0,0,1351.3,1484.7,1,0,1,0,0
5509,56,202,105,89,54,267,80,119,113,26,-6.78,-6.78,-6.78,-6.78,-6.78,6.78,6.78,6.78,6.78,6.78,1247.6,1579.3,1,0,0,1,0
5510,4,104,516,202,1,245,62,246,51,12,0,112.6,0,-15.35,-15.35,-112.6,0,0,15.35,15.35,1493.1,1379.9,1,0,0,1,1
5511,22,141,142,89,114,876,80,236,777,145,34.08,34.08,34.08,34.08,34.08,-34.08,-34.08,-34.08,-34.08,-34.08,1466.8,1210.5,1,0,1,0,1
5512,202,114,245,84,412,28,164,432,21,105,-27,45.3,-84.4,25.1,-27,84.4,-45.3,27,27,-25.1,1289.7,1295.2,1,0,1,0,0
5513,517,126,44,360,203,79,54,157,12,51,-108.5,0,59.05,59.05,0,0,0,108.5,-59.05,-59.05,1607,1336.9,1,0,1,0,1
5514,85,117,22,104,10,875,3,141,57,202,33.9,-28.6,-28.6,86,52.6,28.6,-33.9,-86,-52.6,28.6,1490.7,1412,0,1,1,0,1
5515,163,80,103,62,876,104,81,122,201,3,83.65,83.65,-73.6,-42.4,-6.2,6.2,-83.65,42.4,-83.65,73.6,1520.9,1407.8,1,0,0,1,1
5516,114,50,80,777,60,40,9,240,202,157,-73.64,-73.64,-73.64,-73.64,-73.64,73.64,73.64,73.64,73.64,73.64,1286.9,1567.8,1,0,0,1,0
5517,421,53,114,517,21,24,64,12,50,236,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5518,104,350,117,523,54,517,22,876,40,39,-8.4,34.9,16.8,34.9,-46.2,-16.8,-34.9,8.4,-34.9,46.2,1427.8,1205.8,1,0,1,0,1
5519,62,223,202,120,517,12,68,523,39,44,0,0,0,23.6,-12.8,0,12.8,0,0,-23.6,1624.4,1445.8,1,0,0,1,1
5520,53,21,236,517,516,24,145,1,121,157,0,0,50.3,0,51.8,-51.8,0,0,0,-50.3,1485.2,1305.6,1,0,0,1,1
5521,58,62,432,120,69,154,119,76,63,157,28.8,-3.2,25.95,-7.3,25.95,3.2,-25.95,7.3,-25.95,-28.8,1540.2,1404.2,1,0,1,0,1
5522,145,89,121,3,875,79,24,25,360,236,-1.1,-1.1,0,-31.9,0,0,0,1.1,1.1,31.9,1342,1335.5,0,1,0,1,1
5523,41,254,80,30,84,61,202,43,5,62,0,-29.5,11.95,11.95,0,0,-11.95,-11.95,29.5,0,1604.8,1446.7,1,0,1,0,0
5524,164,523,154,103,3,876,112,412,360,78,0,-128.05,75.3,-128.05,0,-75.3,128.05,0,0,128.05,1653.5,1705.4,0,1,1,0,1
5525,157,4,59,143,202,28,81,163,98,26,-19.6,-84.9,-108.7,14.95,14.95,108.7,-14.95,84.9,19.6,-14.95,1372.6,1466.6,0,1,1,0,0
5526,24,104,517,57,81,89,360,245,39,164,-196.2,-4.5,37.9,-24.75,-24.75,24.75,24.75,4.5,-37.9,196.2,1205.5,1575.7,0,1,0,1,0
5527,81,777,40,28,266,236,202,17,44,350,15.5,37.7,15.5,-34.6,66.7,-37.7,-15.5,-66.7,34.6,-15.5,1566.3,1295.4,1,0,1,0,1
5528,119,117,4,497,203,122,104,245,235,25,0,0,19.9,0,-182.2,0,182.2,-19.9,0,0,1397.9,1329.8,0,1,0,1,0
5529,81,35,68,39,12,78,117,497,145,107,-28.8,-96.4,0,0,-28.8,0,0,28.8,28.8,96.4,1454.3,1428.1,1,0,1,0,0
5530,164,89,26,202,2,74,12,3,121,78,-45.3,-20.9,57,-20.9,54,20.9,20.9,-57,-54,45.3,1308.3,1372.6,0,1,1,0,0
5531,107,121,517,89,360,12,59,21,134,62,7.2,7.2,7.2,7.2,7.2,-7.2,-7.2,-7.2,-7.2,-7.2,1349.8,1398.9,1,0,1,0,0
5532,134,35,40,74,18,161,53,164,61,141,0,0,0,119.7,13.3,0,0,-119.7,-13.3,0,1525.2,1414.8,0,1,1,0,1
5533,106,81,201,427,777,33,145,876,246,89,206.8,-36.7,-36.7,0,0,-206.8,36.7,0,0,36.7,1640.1,1289.5,0,1,0,0,1
5534,141,1,164,360,25,12,235,876,38,114,49.56,49.56,49.56,49.56,49.56,-49.56,-49.56,-49.56,-49.56,-49.56,1448.2,1138.4,1,0,1,0,1
5535,517,105,235,6,63,9,246,98,117,51,-32.5,20,10.55,62.6,10.55,32.5,-20,-62.6,-10.55,-10.55,1348.8,1334.5,0,1,1,0,1
5536,134,107,121,412,202,8,59,266,81,1,122.4,-84.8,55.4,-26.8,-26.8,-122.4,-55.4,84.8,26.8,26.8,1382.2,1256.9,1,0,1,0,1
5537,105,360,246,37,20,17,432,235,55,120,0,-18.85,0,-18.85,0,0,18.85,18.85,0,0,1146.9,1267.5,0,1,1,0,1
5538,203,12,81,157,103,876,63,89,114,238,0,-57.65,-57.65,0,-53.4,0,57.65,57.65,0,53.4,1192.4,1325,1,0,0,0,0
5539,141,516,268,22,3,235,432,120,127,114,-52.2,96.3,0,0,0,0,0,52.2,0,-96.3,1428.9,1681.1,1,0,1,0,0
5540,79,3,202,497,236,203,80,516,63,81,-24.4,10.1,-51,-51,109.1,24.4,51,-109.1,-10.1,51,1329.6,1370.5,0,1,1,0,1
5541,145,58,421,103,164,34,875,360,154,17,35.65,67.9,66.6,-59.7,35.65,59.7,-35.65,-35.65,-66.6,-67.9,1499.7,1311.4,1,0,1,0,1
5542,517,236,201,120,876,516,163,80,117,203,4.4,0,0,-64.4,0,64.4,0,0,-4.4,0,1707.6,1759.9,1,0,0,1,1
5543,85,117,76,114,119,63,235,57,104,12,37.6,37.6,37.6,37.6,37.6,-37.6,-37.6,-37.6,-37.6,-37.6,1598.3,1197.3,1,0,1,0,1
5544,202,432,55,121,517,69,61,104,12,62,0,0,0,-134.5,0,0,0,134.5,0,0,1652.9,1493.8,1,0,0,1,1
5545,1,141,89,236,24,53,154,145,164,517,30.2,-9.6,-46.3,-46.3,-37.4,46.3,9.6,46.3,37.4,-30.2,1329.7,1501.9,1,0,1,0,0
5546,223,30,81,64,62,17,141,22,89,245,0,0,0,-24.6,31.5,-31.5,24.6,0,0,0,1676.7,1406.1,1,0,0,1,1
5547,67,22,43,3,35,777,27,104,16,74,-25.72,-25.72,-25.72,-25.72,-25.72,25.72,25.72,25.72,25.72,25.72,1195.3,1403.4,0,1,0,1,0
5548,517,89,360,117,203,202,777,516,79,12,78.66,78.66,78.66,78.66,78.66,-78.66,-78.66,-78.66,-78.66,-78.66,1754.2,1275.7,1,0,1,0,1
5549,119,76,85,117,246,5,517,4,875,202,54.46,54.46,54.46,54.46,54.46,-54.46,-54.46,-54.46,-54.46,-54.46,1422.3,1336.9,0,1,1,0,1
5550,114,59,235,517,76,61,33,202,141,26,60.7,57.1,57.1,-5.3,184.5,5.3,-60.7,-57.1,-184.5,-57.1,1759.1,1271.3,1,0,1,0,1
